Fecha;cod_ine;CCAA;num_casos;num_casos_prueba_pcr;num_casos_prueba_test_ac;num_casos_prueba_otras;num_casos_prueba_desconocida;Total Pacientes COVID ingresados;Total pacientes COVID en UCI;Ingresos COVID últimas 24 h;Altas COVID últimas 24 h;PCR;TEST_ANTICUERPOS;OTROS_TESTS;TOTAL_PRUEBAS;PCR_x_1000hab._f;TEST_Acc_f;Total_Pruebas_x_1000hab._f;OTROS_TESTS_x_1000hab._f;% Camas Ocupadas COVID_f;% Camas Ocupadas UCI COVID_f
2020-01-31;1;Andalucía;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;2;Aragón;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;3;Asturias;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;6;Cantabria;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;18;Ceuta;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;7;Castilla y León;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;8;Castilla La Mancha;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;5;Canarias;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;9;Cataluña;1,0;1,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;11;Extremadura;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;12;Galicia;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;4;Baleares;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;14;Murcia;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;13;Madrid;4,0;4,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;19;Melilla;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;15;Navarra;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;16;País Vasco;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;17;La Rioja;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-01-31;10;C. Valenciana;4,0;3,0;1,0;0,0;0,0;;;;;;;;;;;;;;
2020-02-01;1;Andalucía;2,0;2,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-02-01;2;Aragón;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-02-01;3;Asturias;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-02-01;6;Cantabria;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
2020-02-01;18;Ceuta;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;
